20110102a,김범준展 / KIMBEONJUN / 金範埈 / mixed media,with nothing,solo exhibition,김범준,무제,현수막 실사출력,140×90cm,2011,https://neolook.com/archives/2011010204a.jpg
20110613b,구본아展 / KOOBONA / 具本妸 / painting,시간의 이빨,solo exhibition,구본아,시간의 이빨 07,한지에 먹 채색, 160×80cm,2011,https://neolook.com/archives/2011061307b.jpg
20110613c,옥선갤러리 개관기념展,예술가_서현(書峴)을 찾다,exhibition,박선기,A play of point of view 1202,합판 혼합매체,80×150×13cm,2010,https://neolook.com/archives/2011061302c.jpg
20110613c,옥선갤러리 개관기념展,예술가_서현(書峴)을 찾다,exhibition,이광택,친구들 찾아오는 숲 속 공부방,캔버스에 유채,65×115cm,2009,https://neolook.com/archives/2011061303c.jpg
20110613c,옥선갤러리 개관기념展,예술가_서현(書峴)을 찾다,exhibition,정광식,View,오석 아크릴칼라,42.5×90×2cm,2011,https://neolook.com/archives/2011061304c.jpg
20110613c,옥선갤러리 개관기념展,예술가_서현(書峴)을 찾다,exhibition,차규선,梅花,혼합재료,91×72.7cm,2011,https://neolook.com/archives/2011061305c.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,bees작,re-birth,혼합재료,300×300×300cm,2010,https://neolook.com/archives/2011061301d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,김성민,탈출구,스틸,200×100×120cm,2011,https://neolook.com/archives/2011061302d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,서동완,black in restrict,케이블타이,70×90×30cm,2011,https://neolook.com/archives/2011061304d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,송현철,the hero,합성수지 아크릴채색,70×100×50cm,2010,https://neolook.com/archives/2011061305d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,양훈,생성,나무,30×60×5cm,2010,https://neolook.com/archives/2011061306d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,이윤형,digital sound-drum,혼합재료,40×60×30cm,2011,https://neolook.com/archives/2011061307d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,최한진,남극이야기,혼합재료,43×97×40cm,2011,https://neolook.com/archives/2011061309d.jpg
20110613d,2011_0613 ▶ 2011_0620,Bees,other,홍종혁,collection,혼합재료,2m이내 가변설치,2011,https://neolook.com/archives/2011061310d.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,하윤주 전나윤 이수안,반찬나라,비닐장갑 종이,가변설치,2011,https://neolook.com/archives/2011061301g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,JT,효자지하생선,비닐 스티로폼,가변설치,2011,https://neolook.com/archives/2011061302g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,홍준웅 임보영 김지민,개성상회,나무 한지,가변설치,2011,https://neolook.com/archives/2011061303g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,박성미,도궁미용실,나무,가변설치,2011,https://neolook.com/archives/2011061304g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,문혜진,우리상회,철사비닐스타킹실,가변설치,2011,https://neolook.com/archives/2011061306g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,김은형 이민정 임선호윤지윤,효자떡집,지푸라기 신문지 황토 모형새,가변설치,2011,https://neolook.com/archives/2011061307g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,김정민 이종환 임재균,우리농산물유통,나무 페인트,가변설치,2011,https://neolook.com/archives/2011061308g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,장하리,통인명물,막걸리병아크릴,가변설치,2011,https://neolook.com/archives/2011061309g.jpg
20110613g,진행기간 / 2011_0613 ▶ 2011_0731,시장조각설치대회,other,최지원 김명교 임송,정금이네김밥집,아크릴 테이프,가변설치,2011,https://neolook.com/archives/2011061310g.jpg
20110614a,김무아_하놀쌈展,모든 경계에는 꽃이 핀다,exhibition,김무아,INVASION Ⅰ,캔버스에 아크릴채색 꼴라주,56×120cm,2010,https://neolook.com/archives/2011061401a.jpg
20110614a,김무아_하놀쌈展,모든 경계에는 꽃이 핀다,exhibition,김무아,INVASION Ⅱ,캔버스에 아크릴채색 꼴라주,56×120cm,2010,https://neolook.com/archives/2011061402a.jpg
20110614a,김무아_하놀쌈展,모든 경계에는 꽃이 핀다,exhibition,김무아,경계,패널에 아크릴채색,10×10cm,2011,https://neolook.com/archives/2011061403a.jpg
20110614a,김무아_하놀쌈展,모든 경계에는 꽃이 핀다,exhibition,김무아,옥상 풍경Ⅰ,보드지에 마카 모눈종이,21×14cm,2011,https://neolook.com/archives/2011061404a.jpg
20110614b,정병현展 / JEONGBYEONGHYEON / 鄭柄賢 / painting,Facial-Life,solo exhibition,정병현,Facial,캔버스에 유채,60×60cm×6,2011,https://neolook.com/archives/2011061402b.jpg
20110614b,정병현展 / JEONGBYEONGHYEON / 鄭柄賢 / painting,Facial-Life,solo exhibition,정병현,Facial,종이에 유채 수채,30×30×10cm×5,2011,https://neolook.com/archives/2011061405b.jpg
20110614b,정병현展 / JEONGBYEONGHYEON / 鄭柄賢 / painting,Facial-Life,solo exhibition,정병현,Facial,종이에 유채 수채,120×120×10cm,2010,https://neolook.com/archives/2011061407b.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-10,목판에 혼합재료,160×120cm,2010,https://neolook.com/archives/2011061401c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-13,목판에 혼합재료,120×180cm,2011,https://neolook.com/archives/2011061402c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-14,목판에 혼합재료,120×180cm,2011,https://neolook.com/archives/2011061403c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-4,목판에 혼합재료,124×244cm,2010,https://neolook.com/archives/2011061404c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-6,목판에 혼합재료,200×840cm,2010,https://neolook.com/archives/2011061405c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-12,목판에 혼합재료,200×100cm,2011,https://neolook.com/archives/2011061406c.jpg
20110614c,한경원展 / HANKYIUNGWON / 韓囧元 / painting,ash,solo exhibition,한경원,ash-9,목판에 혼합재료,80×120cm,2010,https://neolook.com/archives/2011061407c.jpg
20110614d,Telescope展,심안의 공식,exhibition,곽상원,Register,캔버스에 아크릴채색,252×370cm,2010~11,https://neolook.com/archives/2011061402d.jpg
20110614d,Telescope展,심안의 공식,exhibition,김동기,Snow Sculptures #01,캔버스에 유채,130.3×130.3cm,2011,https://neolook.com/archives/2011061403d.jpg
20110614d,Telescope展,심안의 공식,exhibition,김동기,Snow Sculptures #02,캔버스에 유채,162.2×130.3cm,2011,https://neolook.com/archives/2011061404d.jpg
20110614d,Telescope展,심안의 공식,exhibition,김희연,숨 #3,리넨에 아크릴채색,193.9×130.3cm,2011,https://neolook.com/archives/2011061405d.jpg
20110614d,Telescope展,심안의 공식,exhibition,김희연,차가운 그늘,리넨에 아크릴채색,130.3×162.2cm,2011,https://neolook.com/archives/2011061406d.jpg
20110614d,Telescope展,심안의 공식,exhibition,조태광,흐린 기억속 반복된 일상 (side A),프리즘 필름에 아트릴채색,97.5×109.5cm,2011,https://neolook.com/archives/2011061407d.jpg
20110614d,Telescope展,심안의 공식,exhibition,조태광,흐린 기억속 반복된 일상 (side B),프리즘 필름에 아트릴채색,97.5×109.5cm,2011,https://neolook.com/archives/2011061408d.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,경소진,sweet dream (11),한지에 채색,145×100cm,2009,https://neolook.com/archives/2011061405e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,경소진,sweet dream(10),한지에 채색,145×100cm,2009,https://neolook.com/archives/2011061404e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,강준석,비밀정원,캔버스에 아크릴채색,130.3×162.2cm,2010,https://neolook.com/archives/2011061402e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,강준석,red tree,캔버스에 아크릴채색,116×89cm,2010,https://neolook.com/archives/2011061403e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,이혜경,let's go togather,캔버스에 아크릴채색,60.6×72.7cm,2011,https://neolook.com/archives/2011061406e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,이혜경,sound of forest,캔버스에 아크릴채색,53×45.5cm,2011,https://neolook.com/archives/2011061407e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,최배혁,봄날,패널에 아크릴채색,52×76cm,2011,https://neolook.com/archives/2011061408e.jpg
20110614e,2011 한원미술관 어린이 상상 체험展,비밀정원 춤추는 고양이,exhibition,최배혁,출발 2,패널에 아크릴채색,100×73cm,2011,https://neolook.com/archives/2011061409e.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,변진수,소녀1,잉크젯 프린트,140×95cm,2008,https://neolook.com/archives/2011061401f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,윤정미,핑크프로젝트,라이트젯 프린트,122×122cm,2006~9,https://neolook.com/archives/2011061402f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,권일,Recycling project 2009,피그먼트 프린트,104×144cm,2009,https://neolook.com/archives/2011061403f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,원성원,강아지마을,C프린트,120×200cm,2008,https://neolook.com/archives/2011061404f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,안남용,an off-color place 1,피그먼트 프린트,20×24inch,2011,https://neolook.com/archives/2011061405f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,정원섭,새로운시각,디지털 C프린트,60×50cm,2010,https://neolook.com/archives/2011061406f.jpg
20110614f,2011_0615 ▶ 2011_0708,Another Eye-또 다른 시선,other,구성연,사탕시리즈 p02m,라이트젯 C프린트,98×80cm,2010,https://neolook.com/archives/2011061407f.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,변혜숙,아슬아슬,장지에 수묵담채,100×50cm,2010,https://neolook.com/archives/2011061401g.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,변혜숙,아슬아슬,장지에 수묵담채,100×50cm,2010,https://neolook.com/archives/2011061402g.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,변혜숙,데이트,장지에 혼합재료,162×80cm,2011,https://neolook.com/archives/2011061403g.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,주은희,Ordinary Space 10,캔버스에 유채,90.9×60.6cm,2011,https://neolook.com/archives/2011061404g.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,주은희,Tranquility 5,캔버스에 유채,65×45.5cm,2011,https://neolook.com/archives/2011061405g.jpg
20110614g,변혜숙_주은희展,산뜻한 시선 freshness of vision,exhibition,주은희,Tranquility 4,캔버스에 유채,65×45.5cm,2011,https://neolook.com/archives/2011061406g.jpg
20110614h,박기원_박미현_서혜영_정승운展,내각 internal angle,exhibition,박기원,X(엑스),비닐 테이프,가변설치,2011,https://neolook.com/archives/2011061401h.jpg
20110614h,박기원_박미현_서혜영_정승운展,내각 internal angle,exhibition,박미현,Untitled,유지에 유화물감,46×31.5cm,2011,https://neolook.com/archives/2011061402h.jpg
20110614h,박기원_박미현_서혜영_정승운展,내각 internal angle,exhibition,서혜영,Colone I,E.V.A,가변설치,2011,https://neolook.com/archives/2011061403h.jpg
20110614h,박기원_박미현_서혜영_정승운展,내각 internal angle,exhibition,정승운,공제선,실에 유화물감,가변설치,2011,https://neolook.com/archives/2011061404h.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Paradice,캔버스에 유채,130×194cm,2010 ,https://neolook.com/archives/2011061501a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Island,캔버스에 유채,33.5×33.5cm,2010,https://neolook.com/archives/2011061502a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Dusk,캔버스에 유채,130×162cm,2011,https://neolook.com/archives/2011061503a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Drifting,캔버스에 유채,45.5×53.5cm,2011,https://neolook.com/archives/2011061504a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Cutting board,캔버스에 유채,80.3×100cm,2010,https://neolook.com/archives/2011061505a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,Two people,캔버스에 유채,97×130cm,2010,https://neolook.com/archives/2011061506a.jpg
20110615a,신조展 / SINZOW / しんぞう / painting,AND LIFE GOES ON,solo exhibition,신조,onds,캔버스에 유채,80.5×100cm,2011,https://neolook.com/archives/2011061507a.jpg
20110615b,양재광_원성원_윤정미展,Innocence of Childhood,exhibition,윤정미,핑크 프로젝트-에밀리와 에밀리의 핑크색 물건들,라이트 젯 프린트,122×122cm,2005,https://neolook.com/archives/2011061510b.jpg
20110615c,박수진展 / PARKSOOJIN / 朴修眞 / painting,10 미터 인연 (10meter Relationship),solo exhibition,박수진,10미터인연 P.3,캔버스에 아크릴채색,53×45cm,2011,https://neolook.com/archives/2011061501c.jpg
20110615c,박수진展 / PARKSOOJIN / 朴修眞 / painting,10 미터 인연 (10meter Relationship),solo exhibition,박수진,10미터인연 P.15,캔버스에 아크릴채색,53×45cm,2011,https://neolook.com/archives/2011061502c.jpg
20110615c,박수진展 / PARKSOOJIN / 朴修眞 / painting,10 미터 인연 (10meter Relationship),solo exhibition,박수진,10미터인연 P.2,캔버스에 아크릴채색,53×45cm,2011,https://neolook.com/archives/2011061503c.jpg
20110615c,박수진展 / PARKSOOJIN / 朴修眞 / painting,10 미터 인연 (10meter Relationship),solo exhibition, 박수진,10미터인연 P.28,캔버스에 아크릴채색,53×45cm,2011,https://neolook.com/archives/2011061504c.jpg
20110615c,박수진展 / PARKSOOJIN / 朴修眞 / painting,10 미터 인연 (10meter Relationship),solo exhibition,박수진,10미터인연 P.11,캔버스에 아크릴채색,53×45cm,2011,https://neolook.com/archives/2011061505c.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,조춘(早春),황당지에 수묵담채,68×70cm,2009,https://neolook.com/archives/2011061501d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,하운(夏雲),화선지에 수묵담채,69×70cm,2009,https://neolook.com/archives/2011061502d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,삭풍멱구(朔風覓句),황당지에 수묵담채,69×70cm,2009,https://neolook.com/archives/2011061503d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,추정(秋情),황당지에 수묵담채,70×46cm,2008,https://neolook.com/archives/2011061504d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,봄의 소리,화선지에 수묵담채,46×70cm,2010,https://neolook.com/archives/2011061505d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,봄의 기운,화선지에 수묵담채,70×41cm,2010,https://neolook.com/archives/2011061506d.jpg
20110615d,백범영展 / BAEKBEOMYOUNG / 白凡瑛 / painting,자연관조,solo exhibition,백범영,노송(老松),황당지에 수묵담채,46×70cm,2011,https://neolook.com/archives/2011061507d.jpg
20110615e,안윤모展 / AHNYYNMO / painting,안윤모와 발달장애청소년들이 함께하는 세상에서 제일 큰나무,solo exhibition,안윤모,세상에서 제일 큰 나무,혼합재료,2.5×20m,2011,https://neolook.com/archives/2011061501e.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,김선애,인생은 꿈 사랑은 시 Ⅲ,장지에 채색,145.5×112.1cm,2008,https://neolook.com/archives/2011061501f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,김스민,my breath is free and easy,잉크젯 프린트,60×90cm,2010,https://neolook.com/archives/2011061502f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,권종수,ft-bb,3D 렌티큘러,116×120cm,2010,https://neolook.com/archives/2011061503f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,방병상,One day,HD 단채널 비디오,00:03:36,2011,https://neolook.com/archives/2011061504f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,이다슬,From the series I know,디지털 피그먼트 프린트,100×185cm,2010,https://neolook.com/archives/2011061505f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,이승준,In the Bath,3채널,설치 00:04:02,2004,https://neolook.com/archives/2011061506f.jpg
20110615f,2011_0615 ▶ 2011_0708 / 일요일 휴관,헤테로토피아: 불안의 징후,other,장인선,혼종 white – 1009,캔버스에 아크릴채색 아크릴수지,90×120cm,2010,https://neolook.com/archives/2011061507f.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 치자 양파 밤 커피로 물들이고 인두로 태움,162×122cm,2011,https://neolook.com/archives/2011061501g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 커피로 물들이고 인두로 태움,100×100cm,2010,https://neolook.com/archives/2011061502g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 양파로 물들이고 인두로 태움,130.2×130.2cm,2010,https://neolook.com/archives/2011061503g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 린넨 소목으로 물들이고 인두로 태움,91×117cm,2011 ,https://neolook.com/archives/2011061504g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 린넨 치자로 물들이고 인두로 태움,91.2×116.8cm,2011,https://neolook.com/archives/2011061505g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 치자로 물들이고 인두로 태움,145.7×89.7cm,2011 ,https://neolook.com/archives/2011061506g.jpg
20110615g,염기현展 / YEOMKIHYUN / 廉起賢 / painting,A Sound-View,solo exhibition,염기현,A Sound-View,린넨에 면천 밤으로 물들이고 인두로 태움,72.7×60.8cm,2010 ,https://neolook.com/archives/2011061507g.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,행궁,캔버스에 아크릴채색,259.1×193.9cm,2011,https://neolook.com/archives/2011061501h.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,붉은나무 3,캔버스에 아크릴채색,193.9×259.1cm,2011,https://neolook.com/archives/2011061502h.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,현절사,캔버스에 아크릴채색,80.3×116.8cm,2011,https://neolook.com/archives/2011061503h.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,병자년 2,캔버스에 아크릴채색,91×116.8cm,2011,https://neolook.com/archives/2011061505h.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,떠도는 이야기,캔버스에 아크릴채색,91×116.8cm,2011,https://neolook.com/archives/2011061506h.jpg
20110615h,강경구展 / KANGKYUNGKOO / 姜敬求 / painting,먼 그림자 - 산성일기,solo exhibition,강경구,겨울,캔버스에 아크릴채색,130.3×162.2cm,2011 ,https://neolook.com/archives/2011061507h.jpg
20110615j,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,아뿔싸!,solo exhibition,홍근영,뿔이 부르는 노래 Song Horns Sing,싸이키 합성수지 크레파스 우레탄 페인팅,76×60×70cm,2011,https://neolook.com/archives/2011061503j.jpg
20110615j,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,아뿔싸!,solo exhibition,홍근영,Finger-pointing,합성수지 크레파스 우레탄 페인팅,30×20×35cm,2011,https://neolook.com/archives/2011061505j.jpg
20110615j,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,아뿔싸!,solo exhibition,홍근영,왜? 드로잉시리즈 Why? Drawing series,종이에 아크릴물감 크레파스,각 28.5×21cm,2011,https://neolook.com/archives/2011061507j.jpg
20110616a,2011_0616 ▶ 2011_0629 / 6월27일 휴관,제33회 중앙미술대전,other,주세균,Mercator projection,단채널 비디오,00:04:30,2010,https://neolook.com/archives/2011061602a.jpg
20110616a,2011_0616 ▶ 2011_0629 / 6월27일 휴관,제33회 중앙미술대전,other,정자영,[달]예술의 소통을 위한 퍼포먼스,프로세싱(비주얼 프로그래밍 랭귀지)을 통한 사운드 인터랙티브 퍼포먼스,00:15:00,2010,https://neolook.com/archives/2011061604a.jpg
20110616a,2011_0616 ▶ 2011_0629 / 6월27일 휴관,제33회 중앙미술대전,other,이수아,황금빛꽃을 찾아라,캔버스에 유채,181.8×259.1cm,2010-2011,https://neolook.com/archives/2011061608a.jpg
20110616b,김문정展 / KIMMOONJUNG / 金紋正 / photography,The Portrait,solo exhibition,©김문정,무용가 안은미,피그먼트 프린트,100×80cm,2011,https://neolook.com/archives/2011061601b.jpg
20110616b,김문정展 / KIMMOONJUNG / 金紋正 / photography,The Portrait,solo exhibition,©김문정,배우 이순재,피그먼트 프린트,100×80cm,2011,https://neolook.com/archives/2011061602b.jpg
20110616b,김문정展 / KIMMOONJUNG / 金紋正 / photography,The Portrait,solo exhibition,©김문정,디자이너 이상봉,피그먼트 프린트,100×80cm,2011,https://neolook.com/archives/2011061603b.jpg
20110616b,김문정展 / KIMMOONJUNG / 金紋正 / photography,The Portrait,solo exhibition,©김문정,작곡가 진은숙,피그먼트 프린트,100×80cm,2011,https://neolook.com/archives/2011061604b.jpg
20110616b,김문정展 / KIMMOONJUNG / 金紋正 / photography,The Portrait,solo exhibition,©김문정,가수 인순이,피그먼트 프린트,100×80cm,2011,https://neolook.com/archives/2011061605b.jpg
20110616c,이윤경展 / LEEYOONKYUNG / 李倫炅 / painting.photography,그 곳에 사는 것들,solo exhibition,이윤경,집안의 서식물-3,캔버스에 유채,38×45cm,2011,https://neolook.com/archives/2011061601c.jpg
20110616c,이윤경展 / LEEYOONKYUNG / 李倫炅 / painting.photography,그 곳에 사는 것들,solo exhibition,이윤경,집안의 서식물-4,캔버스에 유채,38×45cm,2011,https://neolook.com/archives/2011061602c.jpg
20110616c,이윤경展 / LEEYOONKYUNG / 李倫炅 / painting.photography,그 곳에 사는 것들,solo exhibition,이윤경,집안의 서식물-5,캔버스에 유채,38×45cm,2011,https://neolook.com/archives/2011061603c.jpg
20110616c,이윤경展 / LEEYOONKYUNG / 李倫炅 / painting.photography,그 곳에 사는 것들,solo exhibition,이윤경,문들-진양상가아파트,디지털 프린팅,29.7×21cm,2011,https://neolook.com/archives/2011061604c.jpg
20110616c,이윤경展 / LEEYOONKYUNG / 李倫炅 / painting.photography,그 곳에 사는 것들,solo exhibition,이윤경,집안에 있는 안전한 맹수,캔버스에 유채,162.2×112cm,2011,https://neolook.com/archives/2011061606c.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,인간의 내밀한 역사(An Intimate History of Humanity),캔버스에 유채,97×130.3cm,2010,https://neolook.com/archives/2011061601d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,여행 색에 물들다 (Soul Trip),캔버스에 유채,130×130cm,2010,https://neolook.com/archives/2011061602d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,Erotic Art,캔버스에 유채,60.6×91cm,2009,https://neolook.com/archives/2011061603d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,History of Korea,캔버스에 유채,162×97cm, 2010,https://neolook.com/archives/2011061604d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,A Woman's Life, 캔버스에 유채, 130.3×162.2cm, 2010,https://neolook.com/archives/2011061605d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,Musical Sotry,캔버스에 유채,130×130cm,2010,https://neolook.com/archives/2011061606d.jpg
20110616d,서유라展 / SEOYURA / 徐유라 / painting,Soul Trip,solo exhibition,서유라,Story Book,캔버스에 유채, 130×130cm,2011,https://neolook.com/archives/2011061607d.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Face Series 1,종이에 연필,130×89cm,2011,https://neolook.com/archives/2011061601e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Face Series 3,종이에 연필,130×97cm,2011,https://neolook.com/archives/2011061602e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Face Series 4,종이에 연필,130×97cm,2011,https://neolook.com/archives/2011061603e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Face Series 5,종이에 연필,130×97cm,2011,https://neolook.com/archives/2011061604e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Eummolon Series 1,종이에 연필,89×130cm,2011,https://neolook.com/archives/2011061605e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Eummolon Series 4(Heart),종이에 연필,170×122cm,2011,https://neolook.com/archives/2011061606e.jpg
20110616e,윤석만展 / YOONSEOKMAN / 尹錫晩 / painting,EUMMOLON,solo exhibition,윤석만,Eummolon Series 5(Milk cow),종이에 연필,122×170cm,2011,https://neolook.com/archives/2011061607e.jpg
20110616g,2011_0616 ▶ 2011_0715 / 일요일 휴관,어떤 풍경 Somewhere Place,other,윤정선,4월의 기억 Memory of April,캔버스에 아크릴채색,196×113cm,2009,https://neolook.com/archives/2011061601g.jpg
